type,idiom
real,At slå en streg i sandet
real,At have sommerfugle i maven
real,At tale frit fra leveren
real,At gå nedenom og hjem
real,At få en fjer i hatten
real,At tage tyren ved hornene
real,At kaste håndklædet i ringen
real,At slå to fluer med ét smæk
real,At løbe panden mod en mur
real,At være på bølgelængde
real,At tage det sure med det søde
real,At gå over gevind
real,At komme op i det røde felt
real,At bide i det sure æble
real,At have is i maven
real,At få blod på tanden
real,At få kolde fødder
real,At komme i fedtefadet
real,At give den gas
real,At male fanden på væggen
real,At gå ned med flaget
real,At skyde papegøjen
real,At sidde på den høje hest
real,At have mange bolde i luften
real,At tabe ansigt
real,At vende på en tallerken
real,At have øjne i nakken
real,At være en strid banan
real,At gå på vandet
real,At holde tungen lige i munden
real,At feje for egen dør
real,At trække det korteste strå
real,At have en finger med i spillet
real,At gå agurk
real,At have rent mel i posen
real,At stå med håret i postkassen
fake,At hænge hatten på den forkerte knage
fake,At have sand mellem tænderne
fake,At gå med vinden i lommen
fake,At slå søm i tågen
fake,At have begge hænder i honningkrukken
fake,At trække gardinet for tidligt
fake,At sætte støvlerne i den forkerte grøft
fake,At have en sten under hatten
fake,At løbe efter sin egen skygge
fake,At vende koppen på hovedet
fake,At få regn i støvlerne
fake,At gå med hovedet under armen
fake,At sætte ild til sin egen stige
fake,At have vinden under skjorten
fake,At kaste brænde på den forkerte båd
fake,At stå med næsen i postkassen
fake,At have grus i maskineriet
fake,At gå rundt om den samme sten
fake,At trække tæppet over hovedet
fake,At sætte sin hat efter vinden
fake,At have en ræv i rygsækken
fake,At slå knude på sin egen hale
fake,At gå med skeen i den forkerte gryde
fake,At få vand over støvlekanten
fake,At holde døren med albuen
fake,At have for mange nøgler i lommen
fake,At sætte sejl i modvind
fake,At stå med begge ben i samme støvle
fake,At få grus under vingerne
fake,At tænde lampen i dagslys
fake,At have månen i baglommen
fake,At kaste hatten før festen
fake,At gå med gaflen i suppen
fake,At slå hul i sin egen paraply
fake,At have begge fødder på samme trin
fake,At trække stigen op før man er på taget
